14/01/21 0:46
Données du projet

                           	Segments	  Mots	Caractères (sans espaces)	Caractères (avec espaces)	Nombre de fichiers	
Total :                    	   33721	150081	                   960554	                  1051923	               112	
Restants :                 	   28488	125384	                   784272	                   857940	                96	
Segments uniques :         	    6923	 51246	                   279205	                   319346	               110	
Segments uniques restants :	    5937	 38132	                   211600	                   240166	                94	


Statistiques par fichiers :

Nom du fichier                                                      	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Release/scenario_dlc/Subsidiary/Success_in_IPO.txt                  	            54	               17	              12	                       12	       262	          152	         138	                  138	                           1668	                               842	                              741	                                       741	                           1836	                               960	                              855	                                       855	
Release/scenario_dlc/Subsidiary/Supercharging_ROI.txt               	            54	               19	              14	                       14	       253	          151	         136	                  136	                           1702	                               930	                              814	                                       814	                           1861	                              1043	                              922	                                       922	
Release/scenario_dlc/Subsidiary/The_Master_of_Capital.txt           	            55	               26	              16	                       15	       241	          164	         129	                  125	                           1641	                              1005	                              787	                                       762	                           1785	                              1116	                              883	                                       856	
Release/script/autosave every 10 days.txt                           	             6	                3	               4	                        3	        28	           25	          25	                   25	                            253	                               131	                              231	                                       131	                            273	                               150	                              250	                                       150	
Release/script/autosave every 15 minutes.txt                        	             6	                3	               3	                        3	        34	           31	          31	                   31	                            281	                               159	                              159	                                       159	                            307	                               184	                              184	                                       184	
Release/script/from users/10 cities.txt                             	            35	               16	              25	                       16	       239	          150	         208	                  150	                           1249	                               718	                             1055	                                       718	                           1445	                               851	                             1238	                                       851	
Release/script/sample scripts/sample_script_challenge_game.txt      	            11	                7	               7	                        7	        78	           67	          67	                   67	                            446	                               384	                              384	                                       384	                            512	                               445	                              445	                                       445	
Release/script/sample scripts/sample_script_cities.txt              	            31	               21	              20	                       19	       215	          189	         185	                  181	                           1052	                               896	                              883	                                       858	                           1222	                              1057	                             1042	                                      1015	
Release/script/sample scripts/sample_script_competitors.txt         	            36	               20	              25	                       17	       276	          181	         237	                  169	                           1619	                              1049	                             1353	                                       957	                           1853	                              1209	                             1568	                                      1111	
Release/script/sample scripts/sample_script_environment.txt         	            35	               16	               1	                        1	       239	          150	           4	                    4	                           1248	                               722	                               21	                                        21	                           1444	                               855	                               23	                                        23	
Release/script/sample scripts/sample_script_goals.txt               	            55	               36	              35	                       35	       348	          309	         307	                  307	                           2052	                              1562	                             1550	                                      1550	                           2321	                              1812	                             1800	                                      1800	
